Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4025276,AIR_11,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2017,GHECAUSE,GHECAUSE_GHE000680,,,,,9 [7-11],8.935,6.602,11.174,,2024-10-03T16:28:23.683+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4026308,AIR_11,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2011,GHECAUSE,GHECAUSE_GHE000680,,,,,2722 [1912-3494],2721.567,1911.698,3494.187,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4026381,AIR_11,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2016,GHECAUSE,GHECAUSE_GHE001130,,,,,8 [4-13],7.692,3.684,12.835,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4026439,AIR_11,COUNTRY,COG,YEAR,AFR,Africa,SEX,SEX_BTSX,2017,GHECAUSE,GHECAUSE_GHE001140,,,,,654 [385-1026],654.016,384.681,1026.46,,2024-10-03T16:28:23.683+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4026638,AIR_11,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_MLE,2019,GHECAUSE,GHECAUSE_GHE001180,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4026747,AIR_11,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_BTSX,2013,GHECAUSE,GHECAUSE_GHE001130,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4026784,AIR_11,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_MLE,2014,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4027060,AIR_11,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2015,GHECAUSE,GHECAUSE_GHE000390,,,,,1760 [1341-2111],1759.583,1341.262,2111.013,,2024-10-03T16:28:23.683+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4027247,AIR_11,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2019,GHECAUSE,GHECAUSE_GHE000390,,,,,296 [0-1243],295.87,0,1243.258,,2024-10-03T16:28:23.683+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4027632,AIR_11,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_FMLE,2016,GHECAUSE,GHECAUSE_GHE001130,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4028928,AIR_11,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE000390,,,,,58 [0-265],57.531,0,265.167,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4029049,AIR_11,COUNTRY,CAN,YEAR,AMR,Americas,SEX,SEX_MLE,2011,GHECAUSE,GHECAUSE_GHE001140,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
